name,bio,follower_count,tweet_text,tweet_id,fav_count,rt_count,in_reply_to,mentions,is_retweet,is_quote,hashtags,emojicons,time
Nathalie Arthaud,candidate à la #Présidentielle2022 de @LutteOuvriere,19988,"#Total multiplie ses bénéfices annuels par... 23 !
4,6 milliards uniquement pour le troisième trimestre 2021
➡️ voilà à quoi sert la flambée des prix des #carburants ... à engraisser les actionnaires des grands groupes pétroliers ! 
#parasitisme #capitalisme",1453812261072539648,185,106,,,False,False,"Total, carburants, parasitisme, capitalisme",:right_arrow:,2021-10-28 19:53:48
Nathalie Arthaud,candidate à la #Présidentielle2022 de @LutteOuvriere,19988,"C'est officiel : 1 lit/5 fermé à l'#hopital! Une cata à cause des fermetures de lits, du manque de soignants, écoeurés par les mensonges du #Segur
Les responsables sont à la tête de l'État, qui alimentent depuis des années les profits de la bourgeoisie avec la peau des malades",1453333756341858316,146,63,,,False,False,"hopital, Segur",,2021-10-27 12:12:23
Nathalie Arthaud,candidate à la #Présidentielle2022 de @LutteOuvriere,19988,"RT @franceinter: .@n_arthaud sur la COP26 : ""Je n'en attends absolument rien : ces grandes déclarations la main sur le cœur et la larme à l…",1453241502289833991,0,37,,"franceinter, n_arthaud",True,False,,,2021-10-27 06:05:48
Nathalie Arthaud,candidate à la #Présidentielle2022 de @LutteOuvriere,19988,"RT @franceinter: .@n_arthaud : ""Ce qu'il faut, c'est 300, 400, 500 euros de plus chaque mois sur les fiches de paie ; ces 100 euros [promis…",1453241184361517058,0,33,,"franceinter, n_arthaud",True,False,,,2021-10-27 06:04:32
Nathalie Arthaud,candidate à la #Présidentielle2022 de @LutteOuvriere,19988,"RT @franceinter: .@n_arthaud : ""À la différence de Jean-Luc Mélenchon ou Fabien Roussel, je ne cherche pas à gérer cette société, je pense…",1453240716524675074,0,37,,"franceinter, n_arthaud",True,False,,,2021-10-27 06:02:41
Nathalie Arthaud,candidate à la #Présidentielle2022 de @LutteOuvriere,19988,"#COP26 #climat, #planète, #environnement : moi je suis communiste, communiste pour l'expropriation des capitalistes, il faudra la collectivisation des moyens de production, le renversement du capitalisme, changer toute la société.",1453240665635164167,88,22,,,False,False,"COP26, climat, planète, environnement",,2021-10-27 06:02:29
Nathalie Arthaud,candidate à la #Présidentielle2022 de @LutteOuvriere,19988,"RT @franceinter: .@n_arthaud : ""Il y a eu un écœurement vis-à-vis de la gauche au gouvernement : ils ont fait des promesses en campagne, et…",1453239186023124998,0,21,,"franceinter, n_arthaud",True,False,,,2021-10-27 05:56:36
Nathalie Arthaud,candidate à la #Présidentielle2022 de @LutteOuvriere,19988,"RT @franceinter: .@n_arthaud : ""Je suis convaincue que l'essentiel ne se passe pas au fond des urnes mais dans les entreprises, dans les mo…",1453238496727023627,0,22,,"franceinter, n_arthaud",True,False,,,2021-10-27 05:53:52
Nathalie Arthaud,candidate à la #Présidentielle2022 de @LutteOuvriere,19988,"RT @franceinter: .@n_arthaud : ""Je me présente au nom du camp des travailleurs, face à une minorité richissime qui prospère sur les malheur…",1453238308855758850,0,23,,"franceinter, n_arthaud",True,False,,,2021-10-27 05:53:07
Nathalie Arthaud,candidate à la #Présidentielle2022 de @LutteOuvriere,19988,"Je suis candidate pour dire que si les travailleurs ne veulent pas être les éternels sacrifiés, il faudra renouer avec les luttes collectives, grèves, occupation d'usine, comme pour les ↗️ de salaires il faudra l'arracher aux capitalistes #franceinter",1453238243420430342,212,69,,,False,False,franceinter,:up-right_arrow:,2021-10-27 05:52:51
