name,bio,follower_count,tweet_text,tweet_id,fav_count,rt_count,in_reply_to,mentions,is_retweet,is_quote,hashtags,emojicons,time
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"Aux internationaux de 🇫🇷 de #Badminton, dans le top 10 des tournois mondiaux, pour échanger avec le président @FFBaD et le champion paralympique Lucas Mazure.
Les moyens d’encadrement du sport, l’inclusion et les bénévoles du mouvement sportif sont des sujets clefs. https://t.co/fw1hWoBay3",1453060236982595590,26,5,,FFBaD,False,False,Badminton,:France:,2021-10-26 18:05:31
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @EricPiolle: Aux Internationaux de France de #badminton avec @yjadot, sport où femmes et hommes sont à égalité et jouent ensemble, les 2…",1453059457617993740,0,7,,"EricPiolle, yjadot",True,False,badminton,,2021-10-26 18:02:25
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,Merci @Contexte pour ce travail de transparence et d’information qui rétablit la vérité sur le processus de prise de décision dans notre pays sur le nucléaire. https://t.co/SgCTJQJqdD,1453000848213217288,39,17,,Contexte,False,True,,,2021-10-26 14:09:32
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @EELV: « E.Macron est très faible face au lobby du nucléaire » 

Yannick Jadot (@yjadot), candidat écologiste #EELV à la #Presidentielle…",1452980489686499337,0,23,,"EELV, yjadot",True,False,EELV,,2021-10-26 12:48:38
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @Frederick_M_: Interview de @yjadot, candidat des écologistes à la #Presidentielle2022: ""#RTE admet, reconnaît qu'on peut faire du 100%…",1452980360866897924,0,11,,"Frederick_M_, yjadot",True,False,"Presidentielle2022, RTE",,2021-10-26 12:48:07
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,Soutenir de manière forte le covoiturage c’est bon pour le climat et pour bon pour les ressources des ménages. Généralisons le forfait mobilité durable et prenons tous les moyens de développer le #covoiturage. https://t.co/Fnso8BJoHW,1452950305725992963,114,50,,,False,False,covoiturage,,2021-10-26 10:48:42
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @YannickBrohard: .@yjadot : "" Je n'entends pas le PS défendre la proportionnelle ou la parité à l'assemblée nationale. ""

#Jadot2022 #20…",1452891744878608390,0,20,,"YannickBrohard, yjadot",True,False,Jadot2022,,2021-10-26 06:56:00
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @YannickBrohard: .@yjadot : "" Toutes les droites refont l'histoire. Moi j'ai envie de construire le monde de demain. ""

#Jadot2022 #2022…",1452891728730595329,0,15,,"YannickBrohard, yjadot",True,False,Jadot2022,,2021-10-26 06:55:56
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @LCI: ➡Rapport #RTE : vous dites que RTE est manipulé par le gouvernement ?

🗣️@yjadot
""Bien sûr (...) Ce que veut faire #Macron, c'est…",1452891660141178890,0,26,,"LCI, yjadot",True,False,"RTE, Macron",":right_arrow:, :speaking_head:",2021-10-26 06:55:39
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"Je ne veux pas passer cette campagne présidentielle à regretter une France d’hier dont l’histoire aurait été réécrite.
L’écologie c’est rendre possible et désirable la France de demain. https://t.co/lbymMJbCtW",1452891604323295235,42,12,yjadot,,False,False,,,2021-10-26 06:55:26
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @LCI: ➡Sur le rapport #RTE sur l'avenir de l'électricité

🗣️@yjadot d'@EELV 
""#RTE reconnaît qu'on peut faire du 100% renouvelable, donc…",1452890722491944963,0,35,,"LCI, yjadot, EELV",True,False,"RTE, RTE",":right_arrow:, :speaking_head:",2021-10-26 06:51:56
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @LCI: ➡Sur @fhollande qui estime que toutes les candidatures de gauche pour la #Presidentielle2022  sont ""Lilliputiennes""

🗣️@yjadot d'@…",1452890704577978377,0,38,,"LCI, fhollande, yjadot",True,False,Presidentielle2022,":right_arrow:, :speaking_head:",2021-10-26 06:51:52
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,Les forces politiques qui aujourd’hui donnent des leçons sur la sécurité sont celles qui sont responsables de la situation actuelle. Les écologistes prennent le sujet de la sécurité à bras-le-corps et ne se contentent pas de coups de menton. https://t.co/Pk2wWnbQ4G,1452890554078044165,33,8,yjadot,,False,False,,,2021-10-26 06:51:16
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,L’écologie c’est un grand plan de réindustrialisation de l’économie. L’écologie crée des emplois et garantie notre avenir. L’écologie protège la nature et permet de sauver le climat. https://t.co/lsRNbjznPR,1452889667972501506,23,12,yjadot,,False,False,,,2021-10-26 06:47:44
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"Le coût des énergies renouvelables est en baisse constante alors que celui du nucléaire est en hausse permanente. Les entreprises privées misent sur le développement des énergies renouvelables, elles n’investissent pas dans le nucléaire ! https://t.co/ueo5sCjZfp",1452889210164236289,30,19,yjadot,,False,False,,,2021-10-26 06:45:55
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,Je souhaite que le forfait mobilité durable soit obligatoire et permette de donner jusqu’à 1000 euros par an à celles et ceux qui font du covoiturage. https://t.co/eqGsHroMGf,1452888632625274889,21,7,yjadot,,False,False,,,2021-10-26 06:43:38
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"Emmanuel Macron est très faible face au lobby du nucléaire comme à celui de la chasse. Il fait aujourd’hui de l’enfumage afin de présenter le fiasco de l’#EPR, des années de retards et des milliards de surcoût, comme un horizon enviable. https://t.co/dIh9GcBLZT",1452888321290551301,28,9,yjadot,,False,False,EPR,,2021-10-26 06:42:23
