name,bio,follower_count,tweet_text,tweet_id,fav_count,rt_count,in_reply_to,mentions,is_retweet,is_quote,hashtags,emojicons,time
Antoine WAECHTER 2022 🌵 🌎,"Candidat à la #Presidentielle2022 .
Mouvement Ecologiste Indépendant  #MEI  🌵 🌎
https://t.co/aFZ6XpEmnl 💻
https://t.co/SfMcl88IAb 💻",138,"🔴 La Charte 📜 du #MEI 

La charte | les-ecologistes-mei
 https://t.co/HeqcqgynUh",1453649613722894336,2,1,,,False,False,MEI,":red_circle:, :scroll:",2021-10-28 09:07:30
Antoine WAECHTER 2022 🌵 🌎,"Candidat à la #Presidentielle2022 .
Mouvement Ecologiste Indépendant  #MEI  🌵 🌎
https://t.co/aFZ6XpEmnl 💻
https://t.co/SfMcl88IAb 💻",138,"https://t.co/AAnIqz5GSF

La Conférence des Nations unies 🇺🇳 sur le climat 🍃@COP26 
démarre dimanche à Glasgow, en Ecosse 🇬🇧 .
6 ans après la @cop21_paris 🇫🇷 

#waechter2022 🌵 🌎",1453648613721137153,2,1,,"COP26, cop21_paris",False,False,waechter2022,":United_Nations:, :leaf_fluttering_in_wind:, :United_Kingdom:, :France:, :cactus:, :globe_showing_Americas:",2021-10-28 09:03:31
Antoine WAECHTER 2022 🌵 🌎,"Candidat à la #Presidentielle2022 .
Mouvement Ecologiste Indépendant  #MEI  🌵 🌎
https://t.co/aFZ6XpEmnl 💻
https://t.co/SfMcl88IAb 💻",138,RT @DBarths: L'écologie est au cœur des débats et au cœur de la future campagne présidentielle. Je vous propose de mieux connaître le progr…,1453624625028648960,0,1,,DBarths,True,False,,,2021-10-28 07:28:12
Antoine WAECHTER 2022 🌵 🌎,"Candidat à la #Presidentielle2022 .
Mouvement Ecologiste Indépendant  #MEI  🌵 🌎
https://t.co/aFZ6XpEmnl 💻
https://t.co/SfMcl88IAb 💻",138,"RT @audreygarric: Le constat de l'@UNEP, à quelques jours de l'ouverture de la #COP26, est sans appel : les engagements des pays mènent la…",1453254441302429702,0,73,,"audreygarric, UNEP",True,False,COP26,,2021-10-27 06:57:13
Antoine WAECHTER 2022 🌵 🌎,"Candidat à la #Presidentielle2022 .
Mouvement Ecologiste Indépendant  #MEI  🌵 🌎
https://t.co/aFZ6XpEmnl 💻
https://t.co/SfMcl88IAb 💻",138,"https://t.co/0YpASOO9oO  
🔴 TRIBUNE  📰
CO2 : + 100 PPM en 60 ans  📈🏔️
https://t.co/Qmt6kikv4b 💻
#waechter2022 🌵🌍",1452829334939619330,0,0,,,False,False,waechter2022,":red_circle:, :newspaper:, :chart_increasing:, :snow-capped_mountain:, :laptop:, :cactus:, :globe_showing_Europe-Africa:",2021-10-26 02:48:00
Antoine WAECHTER 2022 🌵 🌎,"Candidat à la #Presidentielle2022 .
Mouvement Ecologiste Indépendant  #MEI  🌵 🌎
https://t.co/aFZ6XpEmnl 💻
https://t.co/SfMcl88IAb 💻",138,"🔴 Le Programme 📜 du #MEI 

https://t.co/Qmt6kikv4b 
#waechter2022 🌵 🌎  https://t.co/ySQgymbsoq",1452824960964173826,0,0,,,False,False,"MEI, waechter2022",":red_circle:, :scroll:, :cactus:, :globe_showing_Americas:",2021-10-26 02:30:37
Antoine WAECHTER 2022 🌵 🌎,"Candidat à la #Presidentielle2022 .
Mouvement Ecologiste Indépendant  #MEI  🌵 🌎
https://t.co/aFZ6XpEmnl 💻
https://t.co/SfMcl88IAb 💻",138,"La gauche a inventé le système des « doubles primaires ». 🎡 
Une première en septembre et une deuxième en janvier..

#Presidentielle2022 
#waechter2022 https://t.co/B5iDXf84tA",1452823809665417218,0,0,,,False,False,"Presidentielle2022, waechter2022",:ferris_wheel:,2021-10-26 02:26:03
Antoine WAECHTER 2022 🌵 🌎,"Candidat à la #Presidentielle2022 .
Mouvement Ecologiste Indépendant  #MEI  🌵 🌎
https://t.co/aFZ6XpEmnl 💻
https://t.co/SfMcl88IAb 💻",138,"🔴TRIBUNE 📰
LE POUVOIR D'ACHAT ? 💰
La logique développée par la majorité des candidats consiste à penser qu’en étant collectivement plus riche 💵,la question de la répartition ne se posera plus.
C’est la théorie du « ruissellement ».
Or ↗️PIB ne garantit pas ↘️ des inégalités.. https://t.co/crwUkhHz0k",1452820023316254724,3,2,,,False,False,,":red_circle:, :newspaper:, :money_bag:, :dollar_banknote:, :up-right_arrow:, :down-right_arrow:",2021-10-26 02:11:00
Antoine WAECHTER 2022 🌵 🌎,"Candidat à la #Presidentielle2022 .
Mouvement Ecologiste Indépendant  #MEI  🌵 🌎
https://t.co/aFZ6XpEmnl 💻
https://t.co/SfMcl88IAb 💻",138,@ivorens,1452589969596354562,0,0,Waechter2022,ivorens,False,False,,,2021-10-25 10:56:51
Antoine WAECHTER 2022 🌵 🌎,"Candidat à la #Presidentielle2022 .
Mouvement Ecologiste Indépendant  #MEI  🌵 🌎
https://t.co/aFZ6XpEmnl 💻
https://t.co/SfMcl88IAb 💻",138,"https://t.co/Om2vk0S02U

Retrouvez sur le site internet du #MEI  des livres 📕sur l'écologie 🍃 et l'évolution de nos sociétés.

S'armer intellectuellement 📚pour bien préparer la campagne présidentielle.

https://t.co/sBhSLJ57dv💻
https://t.co/Qmt6kikv4b 💻
#waechter2022 🌵🌎 https://t.co/7IcgY2TKDu",1452589638112141322,4,1,,,False,False,"MEI, waechter2022",":closed_book:, :leaf_fluttering_in_wind:, :books:, :laptop:, :laptop:, :cactus:, :globe_showing_Americas:",2021-10-25 10:55:32
