name,bio,follower_count,tweet_text,tweet_id,fav_count,rt_count,in_reply_to,mentions,is_retweet,is_quote,hashtags,emojicons,time
Emmanuel Macron,Président de la République française.,7361797,"Consacrer un musée à la vie d’Alfred Dreyfus, c’est réparer une injustice. Le faire dans la maison de Zola, qui prit tous les risques pour l’innocenter, c’est dire que la République ne tient que par les combats de femmes et d’hommes. Jamais un acquis, toujours à reconquérir. https://t.co/t8NMzBZbCg",1453060537949040640,881,187,,,False,False,,,2021-10-26 18:06:43
Emmanuel Macron,Président de la République française.,7361797,"Ici à Montbrison, l'ancienne usine de jouets Gégé se transforme.
67 logements vont y être construits.
Le recyclage de cette friche, c'est le parfait exemple que construction de nouveaux logements et place laissée à la nature sont compatibles. https://t.co/f2EfTknMWi",1452715891846746114,815,155,EmmanuelMacron,,False,False,,,2021-10-25 19:17:13
Emmanuel Macron,Président de la République française.,7361797,"Le fonds pour le recyclage des friches industrielles est un succès ! C'est pourquoi j'ai annoncé sa pérennisation en septembre.
Déjà plus de 600 projets ont pu être réalisés grâce aux 650 millions d'euros du plan France Relance.",1452707168529092612,2037,394,,,False,False,,,2021-10-25 18:42:33
Emmanuel Macron,Président de la République française.,7361797,"Préparer la #France2030, c’est investir 800 millions d’euros dans le secteur de la robotique, c’est accompagner les projets, les plateformes et les entreprises, c’est soutenir les transformations de sites industriels.",1452617383886180367,2548,465,,,False,False,France2030,,2021-10-25 12:45:47
Emmanuel Macron,Président de la République française.,7361797,"La #France2030 se construit ici, dans la Loire. https://t.co/6TdOHZYtTa",1452594374806736903,1645,285,,,False,False,France2030,,2021-10-25 11:14:21
Emmanuel Macron,Président de la République française.,7361797,La France condamne avec la plus grande fermeté la tentative de coup d'État au Soudan. J’exprime notre soutien au gouvernement de transition soudanais et appelle à la libération immédiate et au respect de l’intégrité du Premier ministre et des dirigeants civils.,1452587794208108552,3198,624,,,False,False,,,2021-10-25 10:48:12
Emmanuel Macron,Président de la République française.,7361797,"Quelle course et quelle année de @FabioQ20 ! Bravo à lui, il devient le premier Français à obtenir le titre de champion du monde de #MotoGP.",1452259779355758597,15805,2002,,FabioQ20,False,False,MotoGP,,2021-10-24 13:04:47
Emmanuel Macron,Président de la République française.,7361797,"Tack för din ständiga övertygelse om klimatets, mänskliga rättigheters och öppenhetens betydelse för världen. Det är en övertygelse som delas av Sveriges och Frankrikes befolkning, en övertygelse som utgör de grundläggande värdena för vårt Europa. https://t.co/jKQEFVDhaf",1451659239664013313,1308,193,,,False,True,,,2021-10-22 21:18:27
Emmanuel Macron,Président de la République française.,7361797,"Tack så mycket, kära Stefan!
Merci d'avoir toujours porté haut vos convictions pour le climat, les droits humains et l’ouverture sur le monde, convictions portées par nos peuples, en Suède comme en France, convictions qui forment le visage de notre Europe, notre fierté. https://t.co/w3a7e7udlR",1451658728466436100,1602,214,,,False,False,,,2021-10-22 21:16:26
Emmanuel Macron,Président de la République française.,7361797,"Danke liebe Angela für Deinen Einsatz für Europa. Ein Tweet reicht nicht aus, um 16 Jahre Engagement zusammenzufassen. Deshalb möchte ich ein Datum nennen, das für immer von Deiner Vision zeugen wird: den 21. Juli 2020 und die Verabschiedung des Europäischen Aufbauplans. https://t.co/b27838lbff",1451656526213615621,1499,271,,,False,True,,,2021-10-22 21:07:40
Emmanuel Macron,Président de la République française.,7361797,"Merci, chère Angela, pour les combats menés pour notre Europe. Un tweet ne suffit pas à résumer seize années d'engagement, alors je veux citer une date qui témoignera à jamais de ton engagement et de ta détermination : le 21 juillet 2020, l’adoption du plan de relance européen. https://t.co/ZK2FuE57fo",1451643245906255885,12209,1497,,,False,False,,,2021-10-22 20:14:54
Emmanuel Macron,Président de la République française.,7361797,"Contester l'État de droit, c'est remettre en cause les fondements du projet européen. 
Le dialogue se poursuivra avec le gouvernement polonais pour résoudre les problèmes d'indépendance de la justice. https://t.co/SgC9ZHxE9x",1451617781363904516,1411,316,,,False,False,,,2021-10-22 18:33:43
Emmanuel Macron,Président de la République française.,7361797,"Au Conseil européen, le constat a été fait et partagé de la nécessité de diversifier les sources d'énergies. Jamais un soutien aussi clair et aussi large sur la nécessité de recourir à l'énergie nucléaire pour atteindre nos objectifs climatiques n'avait été exprimé.",1451577899195277312,3032,557,,,False,False,,,2021-10-22 15:55:14
Emmanuel Macron,Président de la République française.,7361797,"Pour protéger durablement nos concitoyens les plus vulnérables et nos entreprises de la hausse des prix de l’énergie, il nous faut accélérer la décarbonation et renforcer notre indépendance énergétique. Nous le ferons. En Européens. https://t.co/MMH1oyXHT6",1451575533498773509,1489,359,,,False,False,,,2021-10-22 15:45:50
