name,bio,follower_count,tweet_text,tweet_id,fav_count,rt_count,in_reply_to,mentions,is_retweet,is_quote,hashtags,emojicons,time
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,"Philippe Poutou est invité par 5 associations de @sciencespo Paris.
De nombreux étudiants et étudiantes n’ont pas pu entrer dans la salle d’une capacité de 100 personnes. Un accueil très chaleureux ! 

#Poutou
#poutou2022 https://t.co/2rDrh5jXDX",1453717060102594562,886,100,,sciencespo,False,False,"Poutou, poutou2022",,2021-10-28 13:35:30
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,Cycle présidentiel - Philippe Poutou à Sciences Po https://t.co/0uVJM6pojS via @YouTube,1453708801685741576,38,10,,YouTube,False,False,,,2021-10-28 13:02:41
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,"Invité à Sciences Po, rendez-vous à partir de 14h45, avec aussi une diffusion live sur YouTube ! 
https://t.co/jP2NXf1J4k https://t.co/cx16aNm4PU",1453700651809218565,144,20,,,False,False,,,2021-10-28 12:30:18
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,Soutien à elles et eux ! https://t.co/U7bWgQD5UQ,1453448568417800199,1467,362,,,False,True,,,2021-10-27 19:48:37
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,"Soutien aux salarié-es des usines de Labeyrie dans les Landes, en grève depuis le 15 octobre, pour augmenter leurs salaires et pour améliorer leurs conditions de travail. Solidarité. https://t.co/gMA8j1cLpm",1453411833541431297,311,79,,,False,False,,,2021-10-27 17:22:38
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,"Une interview chez @NPolony sur @BFMTV demain soir était calée depuis début octobre. Agenda bloqué, trains réservés, logement à Paris géré... Et puis la veille, d'un coup, annulation. Pour le respect, on repassera. Ainsi va la vie des ""grands médias"" et des ""petits candidats"".",1453301099927060488,7804,1644,,"NPolony, BFMTV",False,False,,,2021-10-27 10:02:37
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,Poing d'actu numéro 4 : la prime misère de 100 euros. https://t.co/sCjeiBJ5pk,1452711558207922186,563,152,,,False,False,,,2021-10-25 19:00:00
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,"RT @acrimed_info: « La police tue » : tempête policière dans un verre médiatique
https://t.co/joSgFMtQwJ",1452243165134696452,0,115,,acrimed_info,True,False,,,2021-10-24 11:58:46
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,RT @NPA_officiel: La campagne immonde contre Anasse Kazib montre à quel point les fachos se sentent tout permis dans un climat politique gl…,1451890939027415044,0,175,,NPA_officiel,True,False,,,2021-10-23 12:39:09
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,https://t.co/WrNj4QuJR0,1451802364915200000,581,144,,,False,False,,,2021-10-23 06:47:11
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,https://t.co/7hZlWeQE5g,1451591962679812130,71,15,,,False,False,,,2021-10-22 16:51:07
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,"#LCI #100euros «Quand on a des difficultés financières, bien sûr que 100 euros ça soulage… Mais au vu des richesses qui existent dans la société, pourquoi on nous demande de nous contenter de ça ?»",1451449052890083354,1639,291,,,False,False,"LCI, 100euros",,2021-10-22 07:23:15
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,#LCI «On nous dit que les salaires ne peuvent pas augmenter sinon ça menacerait l'économie. Mais que les profits augmentent ça ne gène pas le gouvernement. Le Français le plus riche a 150 milliards et on nous dit de vivre avec moins de 2000 euros»,1451447231215775758,3024,720,,,False,False,LCI,,2021-10-22 07:16:01
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,#LCI «100 euros c'est ridicule face à l'augmentation des prix. Le gouvernement a bien d'autres leviers en main. Il faut augmenter les salaires.»,1451446443298918400,1014,174,,,False,False,LCI,,2021-10-22 07:12:53
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,"@LCI «Quand on voit l'augmentation des grosses fortunes, c'est clair que la prime de 100 euros ce n'est rien»",1451445989429162029,2,0,LCI,LCI,False,False,,,2021-10-22 07:11:05
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,@LCI «Les 100 euros c'est dérisoire par rapport à tout ce qui augmente. Les revenus sont très bas. Le gouvernement a d’autres outils entre les mains. La meilleure réponse est d'augmenter les salaires»,1451445437387452422,4,0,LCI,LCI,False,False,,,2021-10-22 07:08:53
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,"Gros chantage bourrin de #Blanquer aux enseignant-es. Mais quelles sont les valeurs de la République ? Le chômage, les inégalités sociales, l’exploitation, l’individualisme, l’évasion fiscale, l’expulsion des réfugiés, la répression ? L’école n’aurait rien d’autre à transmettre ?",1451097537797148677,2535,580,,,False,False,Blanquer,,2021-10-21 08:06:27
Philippe Poutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",180494,"A Darmanin qui dépose plainte, aux syndicats policiers d’extrême-droite et à tous les excités réactionnaires qui ne supportent pas la moindre remise en cause, le débat ou qui ne respectent même pas la simple liberté d’expression politique : le ridicule, lui au moins, ne tue pas.",1450826088087707661,12109,2883,,,False,False,,,2021-10-20 14:07:49
